UID|number|genus|species|subspecies|variety|cultivar|synonym|form|affinity|ex|information|source|seeding_date|purchase_date|pot_width|pot_height|soil|description
940326|C101|Lithops|ruschiorum|||||||||Mesa Garden|2021-10-23||6||Земля:Минералка - 1:1|
216208||Frithia|humilis|||||||||Kivuli|20.12.2020|12.09.2021||||от С.Комиссаровой
783165|10b+c|Conophytum|calculus|||||||||Atomic Plant|2021-11-07|||||
665331||Conophytum|minutum|||||||||V. Nesuta|2021-11-07|||||
787031|C081A|Lithops|optica|||Rubra||||||V. Nesuta|2021-10-23||6||Lechuza Pon|
894493|C393A|Lithops|bromfieldii||glaudinae|Embers||||||V. Nesuta|2021-10-23||6||Lechuza Pon|
157524|C216|Lithops|julii|fulleri|rouxii|||||||Uwe Beyer|None|None|None|None||Заказ семян от 2021-03-04 22:14
235767|C188|Lithops|werneri|||||||||Uwe Beyer|None|None|0|None||Заказ семян от 2021-03-04 22:14
335530||Lithops|divergens|||Steenkampskraalrd||||||Atomic Plant|2021-10-23||6||Земля:Минералка - 1:1|
643579|C352|Lithops|lesliei|lesliei|lesliei|||||||Uwe Beyer|2021-11-07|||||Заказ семян от 2021-03-04 22:14
499648|C362|Lithops|bromfieldii||insularis|Sulphurea||||||Atomic Plant|2021-10-23||6||Земля:Минералка - 1:1|
499102|LC5B|Lithops|lesliei|||Vivid Green||||||Uwe Beyer|2021-11-07|||||Заказ семян от 2021-03-04 22:14
001712|L14-76|Lithops|karasmontana|karasmontana|karasmontana||lateritia|||||Uwe Beyer|2021-11-07|||||Заказ семян от 2021-03-04 22:14
899037||Lithops|marmorata|||Polepsky Smaragd||||||V. Nesuta|2021-10-23||6||Земля:Минералка - 1:1|
434500|90|Conophytum|obcordellum|||mundum||||||Atomic Plant|2021-10-23||6||Земля:Минералка - 1:1|
078206|C367|Lithops|gracilidelineata|||||||||Atomic Plant||||||
121519||Lithops|otzeniana||||Brakfontein|||||Atomic Plant||||||
965161|193|Conophytum|tantillum|inexpectatum||||||||Atomic Plant|2021-10-23||6||Lechuza Pon|
371444|C042|Lithops|bromfieldii||insularis|||||||Atomic Plant|2021-11-07|||||
496601|C206|Lithops|dinteri|dinteri||||||||Atomic Plant|2021-11-07|||||
264806|SH531|Lithops|otzeniana|||||||||Atomic Plant|2021-11-07|||||
000644|C412|Lithops|fulviceps||laevigata|||||||Atomic Plant||||||
165014|203|Conophytum|uviforme|decoratum||||||||Atomic Plant|2021-10-23||6||Lechuza Pon|
500366|C323|Lithops|julii|fulleri||||||||Atomic Plant||||||
481937||Lithops|karasmontana|summitatum||||||||Atomic Plant||||||
134099|PV227|Lithops|marmorata||||Smorenskadu|||||Atomic Plant||||||
458209||Lithops|karasmontana|bella||||||||Atomic Plant|2021-11-07|||||
719637|C189|Lithops|gracilidelineata||waldroniae|||||||Mesa Garden|2021-11-07|||||
645674|C186|Lithops|schwantesii|schwantesii|urikosensis||kunjasensis|||||Atomic Plant|2021-10-23||6||Lechuza Pon|
453288||Lithops|olivacea||nebrownii|Red Olive||||||Mesa Garden|2021-11-07|||||
293195|SB2279|Lithops|ruschiorum|||||||||Mesa Garden|2021-11-07|||||
148344|C166|Lithops|vallismariae|||Margarethae||||||Mesa Garden|2021-11-07|||||
164532|SB635|Conophytum|obcordellum|||Ursprungianum|||||98f|Atomic Plant|2021-11-07|||||
960453|SB1193|Conophytum|obcordellum|||Multicolor|||||239|Atomic Plant|2021-11-07|||||
428803|ES3249|Anacampseros|rufescens||||||||An 3|Atomic Plant||||||
944152|An219|Anacampseros|namaquensis||||Black Face Mountain|||||Atomic Plant||||||
717134|C077|Lithops|schwantesii|||||||||Atomic Plant|2021-10-23||6||Lechuza Pon|
703020|C230A|Lithops|villetii|deboeri||||||||Atomic Plant|2021-10-23||6||Земля:Минералка - 1:1|
651829|An123|Anacampseros|namaquensis|||||||||Atomic Plant||||||
682979|An86|Anacampseros|namaquensis|||||||||Atomic Plant||||||
720385||Lithops|julii|julii||Harleqin||||||Atomic Plant|2021-10-23||6||Pussy-cat Минеральный|
336242|An5|Anacampseros|lancifolia|||||||||Atomic Plant||||||
623433|An52|Anacampseros|baeseckei|||||||||Atomic Plant||||||
455443|C262|Lithops|gracilidelineata|||||||||Atomic Plant|2021-10-23||6||Pussy-cat Минеральный|
941777|An8|Anacampseros|baeseckei|||||||||Atomic Plant||||||
757857|An18|Anacampseros|comptonii|||||||||Atomic Plant||||||
878662|An173|Anacampseros|filamentosa|filamentosa||||||||Atomic Plant||||||
182390|40|Conophytum|jucundum|fragile||||||||Atomic Plant|2021-10-23||6||Lechuza Pon|
502114||Lithops|dorothea|||||||AN||Atomic Plant|2021-10-23||6||Lechuza Pon|
905063|CR1340|Conophytum|devium|stiriiferum||||||||Atomic Plant|2021-11-07|||||
898920|TOK76|Lithops|pseudotruncatella|||||||||Mesa Garden|2021-10-23||6||Земля:Минералка - 1:1|
054372||Lithops|optica|||Rubra F3||||||Mesa Garden|2021-10-23||6||Земля:Минералка - 1:1|
922746|TS93|Lithops|olivaceae||nebrownii||Aggeneys|||||Atomic Plant|2021-10-23||6||Pussy-cat Минеральный|
364226||Conophytum|fridrichiae|||||||||V. Nesuta|2021-11-07|||||
860149|C128|Lithops|otzeniana|||||||||Atomic Plant|2021-10-23||6||Pussy-cat Минеральный|
387913|CM142|Conophytum|verrucosum|||||||||V. Nesuta|2021-11-07|||||
700077|TOK67|Lithops|amicorum||||||||TS 67|V. Nesuta||||||
067101|85|Conophytum|minutum|||||||||Atomic Plant|2021-10-23||6||Seramis|
092744|SH1323|Lithops|divergens||amethystina|||||||V. Nesuta||||||
